episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -6289.933792233467, 2, 12.536410396000065, 704, 25122,                                             25122, 0.0, 4501.865234375
2, -2705.0012903809547, 2, 2.5444640929999878, 126, 25248,                                             25248, 0.0, 5315.7373046875
3, -3701.8867049217224, 2, 6.12958868800024, 337, 25585,                                             25585, 0.0, 4505.00390625
4, -4429.654776334763, 2, 9.122535892000087, 493, 26078,                                             26078, 0.0, 4517.8408203125
5, -4154.969130754471, 2, 6.526655075000235, 357, 26435,                                             26435, 0.0, 4967.5419921875
6, -4167.222998857498, 2, 6.5322400019999804, 348, 26783,                                             26783, 0.0, 4675.56689453125
7, -2636.2243695259094, 2, 2.099390982999921, 97, 26880,                                             26880, 0.0, 3144.985595703125
8, -3731.3512673974037, 2, 5.723250386000018, 296, 27176,                                             27176, 0.0, 4605.4990234375
9, -3976.67636179924, 2, 7.523152904999733, 412, 27588,                                             27588, 0.0, 4228.06787109375
10, -4346.956166744232, 3, 9.725076393000109, 539, 28127,                                             28127, 0.0, 4249.423828125
11, -5854.4559780955315, 2, 11.312695229999918, 604, 28731,                                             28731, 0.0, 4344.61181640625
12, -3627.4079160690308, 2, 4.3297848520001025, 231, 28962,                                             28962, 0.0, 4155.876953125
13, -3303.370358467102, 2, 5.535588109999935, 266, 29228,                                             29228, 0.0, 3839.6279296875
14, -4369.72803735733, 2, 9.120921454000381, 514, 29742,                                             29742, 0.0, 3675.4853515625
15, -4450.555379390717, 2, 8.322062257999733, 479, 30221,                                             30221, 0.0, 3380.459228515625
16, -4953.48433637619, 2, 8.729091358999995, 458, 30679,                                             30679, 0.0, 4128.72216796875
17, -2947.302659034729, 2, 5.12244192199978, 274, 30953,                                             30953, 0.0, 4451.51904296875
18, -3105.6220886707306, 2, 3.719760132999909, 195, 31148,                                             31148, 0.0, 3812.219482421875
19, -4450.26016998291, 2, 13.536176527999942, 690, 31838,                                             31838, 0.0, 4124.29150390625
20, -5147.74946475029, 2, 13.934525201999804, 724, 32562,                                             32562, 0.0, 4091.06005859375
21, -4293.565409779549, 2, 10.458376725999642, 584, 33146,                                             33146, 0.0, 4729.12109375
22, -4699.470491051674, 2, 11.532272003000344, 620, 33766,                                             33766, 0.0, 4133.421875
23, -2982.3227140903473, 2, 3.7263499269997737, 193, 33959,                                             33959, 0.0, 4053.26513671875
24, -2911.8968966007233, 2, 3.721334951999779, 186, 34145,                                             34145, 0.0, 3901.499267578125
25, -2571.0166693925858, 2, 3.5226574039998013, 186, 34331,                                             34331, 0.0, 3785.452880859375
26, -6101.912984788418, 3, 13.935619244999998, 730, 35061,                                             35061, 0.0, 4677.318359375
27, -2802.863526701927, 2, 3.524850147000052, 186, 35247,                                             35247, 0.0, 4104.96484375
28, -4560.605681061745, 2, 10.130965386999833, 545, 35792,                                             35792, 0.0, 4543.564453125
29, -2849.7944383621216, 2, 3.7319730209997033, 188, 35980,                                             35980, 0.0, 4243.5283203125
30, -5108.292286515236, 3, 10.124134228000003, 555, 36535,                                             36535, 0.0, 4299.998046875
31, -6941.578581035137, 2, 21.947269338000297, 1244, 37779,                                             37779, 0.0, 4179.57421875
32, -3239.8049026727676, 2, 4.323044897000273, 233, 38012,                                             38012, 0.0, 4157.02099609375
33, -3066.678318977356, 2, 2.702540101000068, 125, 38137,                                             38137, 0.0, 3722.410888671875
34, -4615.983977675438, 2, 14.139282749999893, 716, 38853,                                             38853, 0.0, 3602.030029296875
35, -5280.122025549412, 2, 17.556470916999842, 892, 39745,                                             39745, 0.0, 3730.558349609375
36, -2758.1156747341156, 2, 2.9033422819998123, 103, 39848,                                             39848, 0.0, 5225.27001953125
37, -2910.6756707429886, 2, 6.322709508000116, 265, 40113,                                             40113, 0.0, 3663.988037109375
38, -5081.100059747696, 2, 9.132222718000321, 476, 40589,                                             40589, 0.0, 3710.234130859375
39, -4002.4529638290405, 2, 7.721538273000078, 399, 40988,                                             40988, 0.0, 3869.662841796875
40, -4787.6906353235245, 2, 11.532078880999961, 602, 41590,                                             41590, 0.0, 3499.906494140625
41, -3247.6279582977295, 2, 4.320254972999919, 226, 41816,                                             41816, 0.0, 3439.4970703125
42, -3579.964320421219, 2, 5.929672143000062, 312, 42128,                                             42128, 0.0, 3542.106201171875
43, -2872.0610959529877, 2, 3.3014656950003882, 162, 42290,                                             42290, 0.0, 3315.927490234375
44, -10852.030310094357, 2, 39.15810566400023, 1976, 44266,                                             44266, 0.0, 3323.65185546875
45, 1835.7162331044674, 1, 5.123109810000187, 271, 44537,                                             44537, 0.0, 3572.03125
46, -2583.277482032776, 2, 1.3011856990001434, 54, 44591,                                             44591, 0.0, 4017.072265625
47, -4029.90949010849, 2, 8.528956247000224, 467, 45058,                                             45058, 0.0, 4150.84521484375
48, -2620.1727291345596, 2, 1.9227888010000243, 105, 45163,                                             45163, 0.0, 4153.80322265625
49, -3159.8046284914017, 2, 4.319658658000208, 235, 45398,                                             45398, 0.0, 3470.818115234375
50, -4585.020585298538, 2, 8.724752221000017, 476, 45874,                                             45874, 0.0, 3649.705322265625
51, -3641.84951710701, 2, 9.145445508999728, 417, 46291,                                             46291, 0.0, 3893.43896484375
52, -4274.152549564838, 2, 10.92983980300005, 574, 46865,                                             46865, 0.0, 3567.79541015625
53, -7147.459656894207, 2, 22.134956553999928, 1211, 48076,                                             48076, 0.0, 4041.245361328125
54, -2595.086129963398, 2, 2.3001878860000033, 111, 48187,                                             48187, 0.0, 3384.65625
55, -3030.7384378910065, 2, 4.119009935999657, 225, 48412,                                             48412, 0.0, 4496.02734375
56, -8352.717168152332, 2, 23.13326269299978, 1285, 49697,                                             49697, 0.0, 4098.78076171875
57, -4361.633084774017, 2, 7.724237034999987, 425, 50122,                                             50122, 0.0, 4292.5078125
58, -4693.872554421425, 2, 14.125814766000076, 775, 50897,                                             50897, 0.0, 3827.3271484375
59, -3002.3479075431824, 2, 4.1254439600002115, 215, 51112,                                             51112, 0.0, 4377.42626953125
60, -2808.193568468094, 2, 3.5223833029999696, 194, 51306,                                             51306, 0.0, 4478.81982421875
61, -5879.999124288559, 2, 13.126705052000034, 727, 52033,                                             52033, 0.0, 3956.102783203125
62, -4807.388108968735, 2, 12.328398335000202, 693, 52726,                                             52726, 0.0, 4246.703125
63, -2821.8213155269623, 2, 2.10361611099961, 98, 52824,                                             52824, 0.0, 3907.03515625
64, -4204.089925289154, 2, 8.326245277999988, 469, 53293,                                             53293, 0.0, 3873.18896484375
65, -3029.7106860280037, 2, 4.923226669000087, 264, 53557,                                             53557, 0.0, 3316.830810546875
66, -2933.766453742981, 3, 2.920062813000186, 158, 53715,                                             53715, 0.0, 3812.705322265625
67, -3717.361141562462, 2, 7.9275063499999305, 435, 54150,                                             54150, 0.0, 4098.9794921875
68, -4867.739467382431, 2, 11.32740247699985, 636, 54786,                                             54786, 0.0, 4573.66064453125
69, -6793.077211856842, 3, 18.337096042000212, 1025, 55811,                                             55811, 0.0, 3965.871826171875
70, -3106.2922954559326, 2, 4.105420826000227, 218, 56029,                                             56029, 0.0, 3609.113037109375
71, 2388.360748589039, 1, 2.156679336000252, 112, 56141,                                             56141, 0.0, 3402.097900390625
72, -7764.337887704372, 2, 24.33493192800006, 1350, 57491,                                             57491, 0.0, 4117.29833984375
73, -2757.904736638069, 2, 3.5216988850002053, 186, 57677,                                             57677, 0.0, 3790.873046875
74, -2703.478841483593, 2, 3.523935586999869, 190, 57867,                                             57867, 0.0, 4071.92431640625
75, -3667.1333535909653, 2, 9.526887416000136, 530, 58397,                                             58397, 0.0, 4285.54296875
76, -3473.245505928993, 2, 4.322829728000215, 232, 58629,                                             58629, 0.0, 4476.51513671875
77, -5286.984239578247, 3, 15.733487933000106, 872, 59501,                                             59501, 0.0, 4278.39111328125
78, -616.8264804184437, 1, 12.733917421000115, 718, 60219,                                             60219, 0.0, 4367.8466796875
79, -2955.3280007839203, 2, 2.1021301710002263, 101, 60320,                                             60320, 0.0, 3713.220947265625
80, -5368.758448898792, 2, 16.531026622000354, 912, 61232,                                             61232, 0.0, 4258.267578125
81, -3462.188961982727, 2, 6.923235218000173, 379, 61611,                                             61611, 0.0, 4008.01953125
82, -4094.4200608730316, 2, 8.726803782999923, 482, 62093,                                             62093, 0.0, 4170.61328125
83, -6015.18881124258, 2, 16.733298642000136, 921, 63014,                                             63014, 0.0, 3715.439208984375
84, -5822.4268372654915, 2, 16.32826104300011, 908, 63922,                                             63922, 0.0, 3616.403564453125
85, 1721.7249501943588, 1, 4.323499592999724, 237, 64159,                                             64159, 0.0, 3840.275390625
86, -2839.816087245941, 2, 4.523753119000048, 242, 64401,                                             64401, 0.0, 3769.6181640625
87, -2880.1443610191345, 2, 4.52216578100024, 245, 64646,                                             64646, 0.0, 3355.718994140625
88, -3594.134685754776, 2, 6.5253486199999315, 363, 65009,                                             65009, 0.0, 3334.64599609375
89, 1919.4831520915031, 1, 5.327242913000191, 294, 65303,                                             65303, 0.0, 3122.544921875
90, -2516.256511926651, 2, 1.6994828749998305, 75, 65378,                                             65378, 0.0, 3064.380615234375
91, -4699.024541735649, 2, 11.951396891000059, 653, 66031,                                             66031, 0.0, 3550.640625
92, -4114.484883546829, 2, 7.328330587999972, 397, 66428,                                             66428, 0.0, 3710.21875
93, -2870.380677640438, 3, 4.722431093000068, 249, 66677,                                             66677, 0.0, 4134.169921875
94, -2923.0430921316147, 2, 4.104061281000213, 215, 66892,                                             66892, 0.0, 4199.21630859375
95, -3235.0173812508583, 2, 4.723609318999934, 260, 67152,                                             67152, 0.0, 4373.11376953125
96, -3685.839578270912, 2, 8.728161986000032, 472, 67624,                                             67624, 0.0, 3807.458984375
97, -5544.980942726135, 2, 12.527445385000192, 697, 68321,                                             68321, 0.0, 3690.492919921875
98, 1836.9033737182617, 1, 4.117901607000022, 204, 68525,                                             68525, 0.0, 4173.6943359375
99, -3293.2437212467194, 2, 4.920247487999859, 264, 68789,                                             68789, 0.0, 3339.558837890625
100, -3757.1184511184692, 2, 7.925842721999743, 434, 69223,                                             69223, 0.0, 4197.00146484375
101, -7552.802751839161, 2, 21.662216123000235, 1217, 70440,                                             70440, 0.0, 3920.911376953125
