episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3284.541813135147, 2, 2.694684251000126, 151, 25038,                                             25038, 0.0, 7493.06787109375
2, -2912.0272438526154, 2, 2.5096114699999816, 131, 25169,                                             25169, 0.0, 6329.34814453125
3, -3019.5799572467804, 2, 3.690884062999885, 183, 25352,                                             25352, 0.0, 6280.8515625
4, -3698.2667920589447, 2, 5.115687953000361, 268, 25620,                                             25620, 0.0, 7705.037109375
5, -4023.1343467235565, 2, 4.945295973000157, 240, 25860,                                             25860, 0.0, 6947.107421875
6, -3491.4820405244827, 2, 4.060700516999987, 226, 26086,                                             26086, 0.0, 6339.08740234375
7, -3343.3061316013336, 2, 4.905780325999785, 282, 26368,                                             26368, 0.0, 7011.48583984375
8, -2627.115046262741, 2, 1.530988650999916, 86, 26454,                                             26454, 0.0, 6270.935546875
9, -2590.202985525131, 2, 1.3395552130000397, 74, 26528,                                             26528, 0.0, 7262.41064453125
10, -4012.94074511528, 2, 5.099222315000134, 280, 26808,                                             26808, 0.0, 6416.4921875
11, -2857.6138191223145, 2, 2.8874533399998654, 144, 26952,                                             26952, 0.0, 8982.44921875
12, -3494.9489121437073, 2, 3.7118012830001135, 184, 27136,                                             27136, 0.0, 8120.7314453125
13, -2396.7357292175293, 2, 1.4218077759996959, 76, 27212,                                             27212, 0.0, 7638.26806640625
14, -2997.705740571022, 2, 3.3987849810000625, 167, 27379,                                             27379, 0.0, 8111.53125
15, -3421.468761920929, 2, 4.617762028000016, 256, 27635,                                             27635, 0.0, 7270.8759765625
16, -3157.064970254898, 2, 2.801128301999597, 148, 27783,                                             27783, 0.0, 6704.1767578125
17, -2880.0520825386047, 2, 2.3012699669998256, 113, 27896,                                             27896, 0.0, 8720.474609375
18, -4127.537936925888, 2, 2.7717088180002065, 140, 28036,                                             28036, 0.0, 7094.8427734375
19, -4050.780163526535, 2, 3.883888620000107, 202, 28238,                                             28238, 0.0, 7390.798828125
20, -3322.5635347366333, 2, 2.5862144640000224, 134, 28372,                                             28372, 0.0, 7658.79052734375
21, -2553.9130268096924, 2, 1.6812212360000558, 88, 28460,                                             28460, 0.0, 6298.439453125
22, -3806.6303989887238, 2, 3.733698617999835, 199, 28659,                                             28659, 0.0, 7339.78125
23, -3794.8400909900665, 2, 5.740609761000087, 301, 28960,                                             28960, 0.0, 6139.4599609375
24, -2643.1320745944977, 2, 1.239124436000111, 70, 29030,                                             29030, 0.0, 7601.740234375
25, -5789.932916641235, 2, 8.155484386999888, 454, 29484,                                             29484, 0.0, 6210.2314453125
26, -2536.3554940223694, 2, 1.3252081010000438, 72, 29556,                                             29556, 0.0, 5730.5576171875
27, -2617.7715134620667, 2, 1.4574698310002532, 82, 29638,                                             29638, 0.0, 6690.97265625
28, -3053.9972054958344, 2, 3.6694634380000934, 194, 29832,                                             29832, 0.0, 6864.2900390625
29, -4841.214925765991, 2, 8.93603559300027, 478, 30310,                                             30310, 0.0, 7007.76953125
